time;gFx;gFy;gFz;TgF
2,032000;0,2824;0,9628;-0,0591;1,005
2,036000;0,2822;0,9591;-0,0535;1,001
2,042000;0,2841;0,9616;-0,0515;1,004
2,044000;0,2792;0,9596;-0,0581;1,001
2,048000;0,2812;0,9623;-0,0537;1,004
2,052000;0,2805;0,9572;-0,0503;0,999
2,056000;0,2856;0,9594;-0,0508;1,002
2,060000;0,2849;0,9582;-0,0486;1,001
2,064000;0,2922;0,9589;-0,0415;1,003
2,068000;0,2895;0,9579;-0,0435;1,002
2,072000;0,2888;0,9577;-0,0379;1,001
2,075000;0,2893;0,9565;-0,0386;1,000
2,080000;0,2868;0,9560;-0,0413;0,999
2,083000;0,2844;0,9594;-0,0369;1,001
2,087000;0,2841;0,9562;-0,0374;0,998
2,092000;0,2834;0,9601;-0,0376;1,002
2,096000;0,2844;0,9567;-0,0393;0,999
2,099000;0,2878;0,9545;-0,0396;0,998
2,104000;0,2880;0,9560;-0,0388;0,999
2,109000;0,2907;0,9613;-0,0359;1,005
2,111000;0,2897;0,9574;-0,0408;1,001
2,115000;0,2893;0,9613;-0,0401;1,005
2,119000;0,2873;0,9574;-0,0410;1,000
2,125000;0,2880;0,9609;-0,0396;1,004
2,127000;0,2893;0,9572;-0,0396;1,001
2,131000;0,2841;0,9611;-0,0391;1,003
2,135000;0,2858;0,9555;-0,0432;0,998
2,139000;0,2832;0,9589;-0,0476;1,001
2,144000;0,2863;0,9579;-0,0440;1,001
2,147000;0,2844;0,9567;-0,0486;0,999
2,151000;0,2824;0,9621;-0,0481;1,004
2,155000;0,2841;0,9589;-0,0481;1,001
2,162000;0,2844;0,9618;-0,0530;1,004
2,163000;0,2832;0,9594;-0,0564;1,002
2,168000;0,2817;0,9565;-0,0601;0,999
2,171000;0,2853;0,9584;-0,0555;1,002
2,175000;0,2841;0,9611;-0,0567;1,004
2,179000;0,2858;0,9596;-0,0594;1,003
2,183000;0,2907;0,9611;-0,0564;1,006
2,187000;0,2893;0,9584;-0,0584;1,003
2,192000;0,2844;0,9594;-0,0542;1,002
2,195000;0,2880;0,9521;-0,0557;0,996
2,199000;0,2832;0,9584;-0,0550;1,001
